Pet Apparel	optgroup
    pet-carrier-fashion-bags	238
    pet-carrier-strollers	239

    soft-sided-pet-carriers	240
        wheeled-soft-sided-pet-carriers	241

pet-doors-and-supplies	242
    pet-door-accessories	243
    pet-door-alarms	244
    pet-door-barrier-systems	245
    pet-door-doorbells	246
    pet-door-safety-ramps	247
    pet-doors	248

pet-habitat-supplies	249
    bird-nesting-supplies	250
    birdcage-gravel-paper	251
    birdcage-seed-guards	252
    birdcage-stands	253
    pet-habitat-bedding	254
    pet-habitat-cleaners	255
    pet-habitat-cooling-fans	256
    pet-habitat-decor	257

        pet-habitat-decor-backgrounds	258
        pet-habitat-decor-branches	259
        pet-habitat-decor-driftwood	260
        pet-habitat-decor-hideouts	261
        pet-habitat-decor-plants	262
        pet-habitat-decor-rocks	263
        pet-habitat-decor-terraces	264
        pet-habitat-decor-trees	265
        pet-habitat-decor-vines	266
        pet-habitat-decor-waterfalls	267

    pet-habitat-heaters	268
        pet-habitat-heat-emitters	269
        pet-habitat-heat-lamps	270
        pet-habitat-heat-mats	271
        pet-habitat-under-tank-heaters	272
        pet-habitat-warming-stones	273

    pet-habitat-humidity-gauges	274
    pet-habitat-lights	275
    pet-habitat-mats	276
    pet-habitat-pads	277
    pet-habitat-screen-covers	278

    pet-habitat-substrate	279
        pet-habitat-bark	280
        pet-habitat-carpet	281
        pet-habitat-cedar-shavings	282
        pet-habitat-sand	283

    pet-habitat-suction-cups	284
    pet-habitat-tank-tops	285
    pet-habitat-thermometer-gauges	286

pet-habitats	287

    bird-nests	288

    birdcages	289
        domed-birdcages	290

    cat-houses	291
    dog-houses	292
    pet-terrariums	293
    reptile-houses	294
    small-animal-houses	295

pet-kennels	296

pet-litter-and-house-breaking-aids	297
    litter-box-liners	298
    litter-boxes	299
    litter-pans	300
    litter-scoops	301
    pet-housebreaking-aids	302

    pet-litter	303
        bird-cage-litter-and-bedding	304
        cat-litter	305
        dog-litter	306
        small-animal-litter	307

    pet-odor-removers	308
    pet-pest-repellents	309
    pet-stain-removers	310
    pet-training-pads	311
    pet-waste-shovels	312

pet-supplies-gift-certificates	313

Pet Health Care Supplies	optgroup

air-filters	314
carpet-deodorizers	315
home-pest-control-foggers	316
pet-deodorizer-air-purifiers	317

pet-health-care-supplies	318
    cat-hairball-remedies	319

    pet-dental-care-supplies	320
        pet-breath-drops	321
        pet-breath-sprays	322
        pet-dental-rinses	323
        pet-dental-wipes	324
        pet-toothbrushes	325
        pet-toothpastes	326

    pet-digestive-remedies	327

    pet-ear-care-supplies	328
        pet-ear-cleaners	329
        pet-ear-powders	330
        pet-ear-wipes	331
        pet-miticides	332

    pet-exercise-wheels	333

    pet-eye-care-supplies	334
        pet-eye-cleaners	335
        pet-eye-drops	336
        pet-eye-gels	337
        pet-eye-tear-stain-removers	338
        pet-eye-wash	339
        pet-eye-wipes	340

    pet-itch-remedies	341
    pet-lice-sprays	342
    pet-medications	343
    pet-milk-replacers	344
    pet-relaxants	345

    pet-supplements	346
        pet-amino-acids	347
        pet-antioxidant-nutritional-supplements	348
        pet-brewers-yeast-nutritional-supplements	349
        pet-fish-oil-nutritional-supplements	350
        pet-kelp-supplements	351
        pet-mineral-supplements	352

            pet-calcium-mineral-supplements	353
            pet-manganese-mineral-supplements	354
            pet-potassium-mineral-supplements	355

        pet-probiotic-nutritional-supplements	356
        pet-yucca-herbal-supplements	357

    pet-thermometers	358

    pet-vitamins	359
        pet-multivitamins	360

    wormers	361

pet-pest-control-supplies	362
    pest-control-carpet-powders	363
    pest-control-carpet-sprays	364
    pet-flea-and-tick-collars	365
    pet-flea-and-tick-powders	366
    pet-flea-and-tick-repellents	367
    pet-flea-and-tick-sprays	368
    pet-flea-combs	369
    pet-flea-drops	370
    pet-mosquito-spray	371
    pet-tick-removers	372

pet-supplies-gift-certificates	373

Pet Toys	optgroup

pet-supplies-gift-certificates	374

pet-toys	375
    pet-chew-toys	376
    pet-flying-discs	377
    pet-playpens	378
    pet-squeak-toys	379

    pet-toy-balls	380
        catnip-toy-balls	381

    pet-toy-bells	382

    pet-toy-mice	383
        catnip-toy-mice	384

    pet-toy-ropes	385
    pet-tunnels	386

Pet Training	optgroup

pet-leash-collar-and-harness-supplies	387

    pet-collar-accessories	388
        pet-collar-bells	389
        pet-identification-tags	390
        pinch-collar-links	391

    pet-collars	392
        pet-choke-collars	393
        pet-fashion-collars	394
        pet-pinch-collars	395
        pet-recovery-collars	396
        pet-safety-collars	397

    pet-harness-accessories	398

    pet-harnesses	399
        pet-automotive-harnesses	400
        pet-halter-harnesses	401
        pet-head-harnesses	402
        pet-jump-resistant-harnesses	403
        pet-vest-harnesses	404

    pet-leash-accessories	405

    pet-leashes	406
        double-pet-leashes	407
        hands-free-pet-leashes	408
        retractable-pet-leashes	409

    pet-muzzles	410

pet-supplies-gift-certificates	411

pet-training-and-behavioral-aids	412
    dog-whistles	413
    electronic-bark-collars	414
    liquid-catnip-spray	415
    pet-headcollars	416

    pet-pest-repellents	417
        pet-pest-repellent-formulas	418
        sonic-pet-pest-repellents	419

    pet-tie-outs-and-stakes	420

        pet-tie-out-stakes	421
        pet-tie-outs	422

    pet-training-clickers	423
    pet-training-leads	424
    radio-pet-fences	425
    scratch-repellents	426
    scratching-post-replacement-pads	427

    scratching-posts	428
        cardboard-scratchers	429
        hanging-scratchers	430

    sonic-barking-deterrents	431
