Agricultural Equipment	optgroup
        lawn-and-garden-baskets	1110
        lawn-and-garden-containers	1111
        lawn-and-garden-storage	1112
        sod-pluggers	1113
        wheelbarrows	1114
        yard-carts	1115

    lawn-and-garden-hand-tools	1116

        axes	1117
            pick-axes	1118

        bonsai-tools	1119

            bonsai-brooms	1120
            bonsai-chisels	1121
            bonsai-cutters	1122
            bonsai-digging-tools	1123
            bonsai-hook-tools	1124
            bonsai-knives	1125
            bonsai-nippers	1126

            bonsai-pliers	1127
                bonsai-jin-pliers	1128

            bonsai-pruning-shears	1129
            bonsai-rakes	1130
            bonsai-saws	1131
